"name","deathsper100000livebirths","deathsper1000livebirths","years","region"
"Afghanistan",521,101.3,54.4,"South Asia"
"Albania",7,10.3,79.9,"Europe"
"Algeria",62,18.7,77.9,"Africa"
"American Samoa",NA,9.7,75.8,"Australia and Oceania"
"Andorra",11,3.3,83.8,"Europe"
"Angola",183,55.6,62.9,"Africa"
"Anguilla",NA,3,82.6,"Central America and the Caribbean"
"Antigua and Barbuda",35,13.6,78.3,"Central America and the Caribbean"
"Argentina",33,9,78.8,"South America"
"Armenia",19,11.6,76.7,"Central Asia"
"Aruba",NA,11.5,78.5,"Central America and the Caribbean"
"Australia",2,2.9,83.5,"Australia and Oceania"
"Austria",6,3.2,82.7,"Europe"
"Azerbaijan",18,10.9,75.9,"Central Asia"
"Bahrain",17,9.7,80.4,"Middle East"
"Bangladesh",115,28.8,75.2,"South Asia"
"Barbados",35,9.6,79,"Central America and the Caribbean"
"Belarus",1,2.1,74.7,"Europe"
"Belgium",4,3.1,82.3,"Europe"
"Belize",67,11.3,74.3,"Central America and the Caribbean"
"Benin",518,52.9,63,"Africa"
"Bermuda",NA,2.1,82.5,"North America"
"Bhutan",47,24.3,73.7,"South Asia"
"Bolivia",146,22.3,72.5,"South America"
"Bosnia and Herzegovina",6,5,78.5,"Europe"
"Botswana",155,23.7,66.4,"Africa"
"Brazil",67,12.9,76.3,"South America"
"British Virgin Islands",NA,13.4,80.1,"Central America and the Caribbean"
"Brunei",36,10,78.9,"East and Southeast Asia"
"Bulgaria",6,7.7,76.1,"Europe"
"Burkina Faso",242,47,64.2,"Africa"
"Burma",185,32.1,70.3,"East and Southeast Asia"
"Burundi",392,35.7,68.1,"Africa"
"Cabo Verde",40,22.4,74.3,"Africa"
"Cambodia",137,27.9,71.4,"East and Southeast Asia"
"Cameroon",258,46.1,64.2,"Africa"
"Canada",12,4.3,84.2,"North America"
"Cayman Islands",NA,7.3,82.5,"Central America and the Caribbean"
"Central African Republic",692,80.5,56.4,"Africa"
"Chad",748,62.5,60,"Africa"
"Chile",10,6.3,80.3,"South America"
"China",16,6.2,78.7,"East and Southeast Asia"
"Colombia",59,11.7,74.9,"South America"
"Comoros",179,54.9,67.8,"Africa"
"Cook Islands",0,15.1,77.6,"Australia and Oceania"
"Costa Rica",24,6.7,80.3,"Central America and the Caribbean"
"Cote d'Ivoire",359,52.5,63.2,"Africa"
"Croatia",3,8.4,77.7,"Europe"
"Cuba",35,4,80.1,"Central America and the Caribbean"
"Curacao",NA,7.5,79.9,"Central America and the Caribbean"
"Cyprus",14,8.1,80.2,"Europe"
"Czechia",3,2.6,78.6,"Europe"
"Democratic Republic of the Congo",427,57.4,62.6,"Africa"
"Denmark",4,3,82.1,"Europe"
"Djibouti",162,45.2,65.9,"Africa"
"Dominica",36,10.7,78.7,"Central America and the Caribbean"
"Dominican Republic",124,21.7,72.6,"Central America and the Caribbean"
"Ecuador",55,11.2,74.9,"South America"
"Egypt",17,16.8,75,"Africa"
"El Salvador",39,11.7,75.9,"Central America and the Caribbean"
"Equatorial Guinea",174,77.4,63.9,"Africa"
"Eritrea",291,39.8,67.5,"Africa"
"Estonia",5,3.3,78.4,"Europe"
"Eswatini",118,36.7,60.7,"Africa"
"Ethiopia",195,32.6,67.7,"Africa"
"Faroe Islands",NA,5.7,81.7,"Europe"
"Federated States of Micronesia",129,20.9,75,"Australia and Oceania"
"Fiji",30,9.7,74.8,"Australia and Oceania"
"Finland",8,2.1,82.2,"Europe"
"France",7,3.1,82.6,"Europe"
"French Polynesia",NA,4.3,78.9,"Australia and Oceania"
"Gabon",233,26.9,70.4,"Africa"
"Gaza Strip",16,15.1,75.5,"Middle East"
"Georgia",20,21.7,72.8,"Central Asia"
"Germany",4,3.1,81.9,"Europe"
"Ghana",234,31.2,70.1,"Africa"
"Gibraltar",NA,6,80.9,"Europe"
"Greece",5,3.4,81.9,"Europe"
"Greenland",NA,8.5,74.5,"North America"
"Grenada",48,9,76.3,"Central America and the Caribbean"
"Guam",NA,10.9,78,"Australia and Oceania"
"Guatemala",94,25,73.5,"Central America and the Caribbean"
"Guernsey",NA,3.3,83.6,"Europe"
"Guinea",494,47,64.6,"Africa"
"Guinea-Bissau",505,46.4,64.5,"Africa"
"Guyana",75,21.1,72.4,"South America"
"Haiti",328,36.8,65.6,"Central America and the Caribbean"
"Honduras",47,15.4,73.1,"Central America and the Caribbean"
"Hong Kong",NA,2.5,84,"East and Southeast Asia"
"Hungary",12,4.7,76,"Europe"
"Iceland",3,1.6,84,"Europe"
"India",80,30.4,68.2,"South Asia"
"Indonesia",140,18.9,73.6,"East and Southeast Asia"
"Iran",16,14.3,75.6,"Middle East"
"Iraq",66,18.7,73.7,"Middle East"
"Ireland",4,3.3,82,"Europe"
"Isle of Man",NA,4.1,82.5,"Europe"
"Israel",2,2.8,83.1,"Middle East"
"Italy",6,3.1,83,"Europe"
"Jamaica",130,10.7,76.3,"Central America and the Caribbean"
"Japan",3,1.9,85.2,"East and Southeast Asia"
"Jersey",NA,3.7,83,"Europe"
"Jordan",31,13.2,76.5,"Middle East"
"Kazakhstan",10,8,73.3,"Central Asia"
"Kenya",379,26.1,70.4,"Africa"
"Kiribati",80,31.5,68.5,"Australia and Oceania"
"Kosovo",NA,22.9,73.1,"Europe"
"Kuwait",8,7.2,79.6,"Middle East"
"Kyrgyzstan",42,24.5,72.9,"Central Asia"
"Laos",112,35.4,69,"East and Southeast Asia"
"Latvia",19,4.7,76.4,"Europe"
"Lebanon",15,6.7,79.2,"Middle East"
"Lesotho",478,45.7,60.2,"Africa"
"Liberia",628,55.7,61.6,"Africa"
"Libya",59,10.7,77.7,"Africa"
"Liechtenstein",NA,3.9,83,"Europe"
"Lithuania",8,3.6,76.1,"Europe"
"Luxembourg",12,3.2,83.4,"Europe"
"Macau",NA,4.4,85.3,"East and Southeast Asia"
"Madagascar",445,37.5,68.8,"Africa"
"Malawi",225,31.9,73,"Africa"
"Malaysia",26,6.4,76.6,"East and Southeast Asia"
"Maldives",32,24.4,77.4,"South Asia"
"Mali",367,57.4,63.2,"Africa"
"Malta",8,4.4,83.6,"Europe"
"Marshall Islands",155,20.6,75.2,"Australia and Oceania"
"Mauritania",381,48.9,65.9,"Africa"
"Mauritius",66,11.6,75.4,"Africa"
"Mexico",42,12.1,74.6,"North America"
"Moldova",19,13.8,70.1,"Europe"
"Monaco",5,1.7,89.8,"Europe"
"Mongolia",41,19.4,71.9,"East and Southeast Asia"
"Montenegro",6,3.2,78.2,"Europe"
"Montserrat",NA,9.7,76.1,"Central America and the Caribbean"
"Morocco",70,18.3,74.2,"Africa"
"Mozambique",82,58.2,58.3,"Africa"
"Namibia",139,27.9,65.9,"Africa"
"Nauru",273,7.6,68.6,"Australia and Oceania"
"Nepal",142,24,73,"South Asia"
"Netherlands",4,3.6,81.9,"Europe"
"New Caledonia",NA,4.8,79.3,"Australia and Oceania"
"New Zealand",7,3.3,82.9,"Australia and Oceania"
"Nicaragua",60,14.4,74.7,"Central America and the Caribbean"
"Niger",350,64.3,60.9,"Africa"
"Nigeria",993,53.7,62.2,"Africa"
"North Korea",67,15.4,73.5,"East and Southeast Asia"
"North Macedonia",3,7,77.3,"Europe"
"Northern Mariana Islands",NA,11.9,77.1,"Australia and Oceania"
"Norway",1,1.8,82.9,"Europe"
"Oman",13,13.9,77.4,"Middle East"
"Pakistan",155,51.5,70.3,"South Asia"
"Palau",89,10.8,75.2,"Australia and Oceania"
"Panama",37,14.2,79.2,"Central America and the Caribbean"
"Papua New Guinea",189,32,70.1,"East and Southeast Asia"
"Paraguay",58,22,78.8,"South America"
"Peru",51,10.8,68.9,"South America"
"Philippines",84,22,70.8,"East and Southeast Asia"
"Poland",2,4.9,76.7,"Europe"
"Portugal",15,2.4,81.9,"Europe"
"Puerto Rico",11,5.8,82.1,"Central America and the Caribbean"
"Qatar",4,6.4,80.3,"Middle East"
"Republic of the Congo",241,30.6,72.9,"Africa"
"Romania",12,5.5,76.9,"Europe"
"Russia",9,6.5,72.3,"Central Asia"
"Rwanda",229,24.9,66.6,"Africa"
"Saint Barthelemy",NA,6.5,81,"Central America and the Caribbean"
"Saint Helena Ascension and Tristan da Cunha",NA,18.1,80.9,"Africa"
"Saint Kitts and Nevis",74,8,77.6,"Central America and the Caribbean"
"Saint Lucia",44,11.5,79.4,"Central America and the Caribbean"
"Saint Martin",NA,6.5,81,"Central America and the Caribbean"
"Saint Pierre and Miquelon",NA,7.8,81.8,"North America"
"Saint Vincent and the Grenadines",56,12.3,77.2,"Central America and the Caribbean"
"Samoa",101,17.3,75.7,"Australia and Oceania"
"San Marino",8,6.2,84.2,"Europe"
"Sao Tome and Principe",75,42.6,67.7,"Africa"
"Saudi Arabia",7,11.7,77.2,"Middle East"
"Senegal",237,31.1,70.6,"Africa"
"Serbia",11,4.5,75.3,"Europe"
"Seychelles",42,10.2,76.6,"Africa"
"Sierra Leone",354,71.2,59.4,"Africa"
"Singapore",6,1.5,86.7,"East and Southeast Asia"
"Sint Maarten",NA,7.6,79.7,"Central America and the Caribbean"
"Slovakia",4,5.1,77.2,"Europe"
"Slovenia",3,1.5,82.2,"Europe"
"Solomon Islands",123,19.1,77.2,"Australia and Oceania"
"Somalia",563,83.6,56.5,"Africa"
"South Africa",118,21.9,71.9,"Africa"
"South Korea",4,2.8,83.4,"East and Southeast Asia"
"South Sudan",692,60.1,60.3,"Africa"
"Spain",3,2.4,83,"Europe"
"Sri Lanka",18,6.8,76.8,"South Asia"
"Sudan",256,40.6,67.8,"Africa"
"Suriname",84,29.6,72.7,"South America"
"Sweden",4,2.3,82.9,"Europe"
"Switzerland",5,3,83.9,"Europe"
"Syria",20,15.1,74.8,"Middle East"
"Taiwan",NA,3.8,81.6,"East and Southeast Asia"
"Tajikistan",14,21.7,71.9,"Central Asia"
"Tanzania",276,29.6,70.8,"Africa"
"Thailand",34,6.3,78.2,"East and Southeast Asia"
"The Bahamas",76,9.4,76.7,"Central America and the Caribbean"
"The Gambia",354,35.7,68.4,"Africa"
"Timor-Leste",192,32.2,70.5,"East and Southeast Asia"
"Togo",349,38.4,72.1,"Africa"
"Tonga",67,11.8,78,"Australia and Oceania"
"Trinidad and Tobago",54,15.1,76.5,"Central America and the Caribbean"
"Tunisia",36,11.3,77.3,"Africa"
"Turkey",15,18.4,76.7,"Middle East"
"Turkmenistan",5,35.9,72.4,"Central Asia"
"Turks and Caicos Islands",NA,11.1,81.3,"Central America and the Caribbean"
"Tuvalu",170,27.8,69,"Australia and Oceania"
"Uganda",170,28.5,69.7,"Africa"
"Ukraine",15,8.7,70.5,"Europe"
"United Arab Emirates",3,5,79.9,"Middle East"
"United Kingdom",8,3.8,82.2,"Europe"
"United States",17,5.1,80.9,"North America"
"Uruguay",15,8,78.9,"South America"
"Uzbekistan",26,18.2,76.2,"Central Asia"
"Vanuatu",100,13.7,75.7,"Australia and Oceania"
"Venezuela",227,13.9,74.5,"South America"
"Vietnam",48,14.1,76.1,"East and Southeast Asia"
"Virgin Islands",NA,7.3,80.7,"Central America and the Caribbean"
"Wallis and Futuna",NA,3.9,81.1,"Australia and Oceania"
"West Bank",16,15.1,76.5,"Middle East"
"Yemen",118,44.6,68.2,"Middle East"
"Zambia",85,35.6,66.9,"Africa"
"Zimbabwe",358,33.4,67.2,"Africa"
